TERM,SCHEMA
Positive Control,"Definition: A control group in an experiment that is expected to produce a known effect and is used to ensure that the experimental setup can produce reliable results; Course Example: In a PCR experiment, a sample with a known DNA sequence is used as a positive control to ensure the PCR process is working; Application: Ensures that the experiment can detect the effect under investigation, validating the experimental setup"
Negative Control,"Definition: A control group that is not exposed to the experimental treatment or variable and is expected to produce no response; Course Example: In an Ecoplate experiment, a well without any carbon source is used as a negative control to measure baseline color change; Application: Helps to confirm that any observed effects are due to the experimental treatment and not other factors; Common Misconception: Negative controls are sometimes thought to be unnecessary, but they are crucial for identifying background noise in experiments."
Shannon Diversity Index,"Definition: A mathematical measure used to quantify biodiversity in a community by considering both species richness and evenness; Course Example: Calculating the Shannon Diversity Index for microbial communities found in soil samples plated on Ecoplates; Application: Used to compare the biodiversity of different ecosystems or microbial communities; Common Misconception: Students often confuse Shannon Diversity Index with simple species count; however, it also incorporates evenness."
Richness,"Definition: The number of different, unique species present in a particular community or ecosystem. It can also refer to carbon sources metabolized; Shannon H increases as richness increases; Course Example: Counting the number of unique carbon sources metabolized from an Ecoplate; Application: Important for assessing the biodiversity of a sample; Common Misconception: Richness only counts the number of species but does not account for how many individuals are present from each species."
Evenness,"Definition: A measure of how equally the individuals in a community are distributed among the different species present. Shannon H increases as evenness increases; Course Example: Two soil samples may have the same species richness but differ in evenness if one sample has species more equally represented than the other; Application: Evenness is used alongside richness to understand the overall structure of a community; Common Misconception: Students may overlook evenness and focus solely on richness, missing insights about community balance."
Biolog Ecoplate,"Definition: A tool used to measure the functional diversity of a microbial community by analyzing the utilization of various carbon sources in the microplate wells such as carboxylic acids, carbohydrates, amino acids, polymers, and amines; Course Example: Using Ecoplates to assess the functional diversity of bacteria isolated from soil samples; Application: Helps in identifying the metabolic capabilities of a community; Common Misconception: Ecoplates are often mistaken for tools that identify species, but they actually assess functional diversity."
Bacterial vs. Fungal Colony Morphology,"Definition: The distinct physical characteristics that differentiate bacterial colonies (e.g., smooth, shiny) from fungal colonies (e.g., fuzzy, large) when grown on agar plates; Application: Used in microbiology for the identification of organisms based on growth patterns; Common Misconception: Students may confuse colony morphology with individual cell morphology; colony morphology refers to the appearance of the whole colony."
Functional Biodiversity,"Definition: The range of different biological traits within a community, such as the ability to use different carbon sources, that contribute to ecosystem functioning; Course Example: Assessing functional biodiversity through the use of Biolog Ecoplates in microbial community analysis; Application: Important for understanding the roles that different species play within an ecosystem; Common Misconception: Functional biodiversity is sometimes confused with species diversity, but it specifically refers to the variety of functions performed by the organisms."
Incubation,"Definition: The process of maintaining cultures or samples under specific environmental conditions (e.g., temperature, humidity) to promote growth or chemical reactions; Course Example: Incubating Ecoplates for 1 week at 30°C to allow microbial growth and color development; Application: Used in labs to optimize conditions for the growth of bacteria, fungi, or other organisms; Common Misconception: Incubation times and temperatures vary greatly; assuming one set of conditions works for all organisms is incorrect."
Lactose Fermentation,"Definition: A metabolic process where bacteria convert lactose into lactic acid, often used as a differential marker in microbial identification; Course Example: Using MacConkey agar to identify lactose-fermenting bacteria by the color change in the media; Application: Helps distinguish between different types of bacteria, particularly in clinical and environmental samples; Common Misconception: Students often assume all bacteria can ferment lactose, but only specific bacteria possess this ability."
Percent Moisture,"Definition: The amount of water present in a sample, expressed as a percentage, often measured to assess environmental conditions affecting microbial growth; it is the ratio of water mass over dry soil mass; Course Example: Measuring soil moisture in samples to understand how it affects microbial community composition; Application: Used in environmental microbiology to determine the water content in soil and its impact on microbial growth; Common Misconception: Percent moisture is sometimes confused with water potential, but they are different concepts related to water in soil."
