TERM,SCHEMA
DNA Extraction,"DNA Extraction is the process of isolating DNA from cells or tissues by breaking down cell membranes and other structures to release DNA. This involves cell lysis, removal of proteins and contaminants, and DNA purification. In BILD 4, you'll extract DNA from soil bacteria, paying careful attention to where the DNA is at every step to avoid discarding it during filtration and centrifugation."
How to lyse cells,"Lysing cells involves breaking open the cell membrane to release the contents inside, particularly nucleic acids or proteins. Methods include mechanical disruption (e.g., bead beating in a vortex) and chemical lysis (e.g., using detergents such as soap to disrupt cell membranes). In BILD 4, you will use both methods to extract DNA from bacterial cells."
Vortex,"A vortex is a laboratory device used to mix small vials of liquid by creating a rapid, circular motion that efficiently mixes the contents. In BILD 4, you will use a vortex to aid in the mechanical lysis of cells during DNA extraction by mixing cells with ceramic beads."
Centrifugation,"Centrifugation uses centrifugal force to separate particles from a solution based on their size and density. In DNA extraction, centrifugation is critical for separating cellular debris from the DNA-containing supernatant."
Elution Buffer,"An elution buffer is used in DNA extraction to release purified DNA from the solid matrix of a spin column after contaminants have been washed away. In BILD 4, you'll use an elution buffer to collect the final purified DNA after the extraction process."
NanoDrop Spectrophotometer,"A NanoDrop spectrophotometer measures the concentration and purity of DNA, RNA, and protein samples. For DNA purity, the A260:A280 ratio should be around 1.8 to indicate pure DNA. Concentrations for PCR should typically range between 20 ng/µL and 150 ng/µL. In BILD 4, you will use the NanoDrop to assess the concentration and purity of your DNA before PCR, ensuring a high-quality sample."
PCR (Polymerase Chain Reaction),"PCR is a laboratory technique used to amplify specific DNA sequences through cycles of denaturation, annealing, and extension. In BILD 4, PCR will be used to amplify the 16S rRNA gene from soil bacteria to help identify bacterial species present in the sample."
16S rRNA Gene,"The 16S rRNA gene is used in bacterial identification and classification due to its highly conserved regions and variable regions that differ between species. In BILD 4, you will amplify and sequence this gene to identify bacteria present in your soil samples."
Denaturation in PCR,"Denaturation in PCR is the first step where double-stranded DNA is heated to 95°C to separate the strands, allowing primers to bind during the annealing step."
Annealing in PCR,"Annealing in PCR is the step where the temperature is lowered to allow primers to bind to complementary sequences on single-stranded DNA templates. The annealing temperature must match the melting temperature of the primers, typically between 50-65°C."
Extension in PCR,"Extension in PCR occurs when Taq DNA polymerase synthesizes new DNA strands by adding nucleotides to the primers. This step typically occurs at 72°C, the optimal temperature for Taq polymerase."
Thermocycler,"A thermocycler is a laboratory instrument that automates the PCR process by cycling through the necessary temperatures for denaturation, annealing, and extension. In BILD 4, you will program and use a thermocycler to amplify the 16S rRNA gene."
Primers in PCR,"Primers are short sequences of nucleotides that bind to specific regions of the target DNA during PCR. Proper primer design is essential to ensure specific binding and successful amplification of the desired DNA sequence. In BILD 4, primers targeting the 16S rRNA gene are used to identify bacterial species."
Agarose Gel,"Agarose gel is used in gel electrophoresis to separate DNA fragments based on size. In BILD 4, you will use agarose gels to visualize the results of your PCR and confirm the size of the amplified 16S rRNA gene."
Gel Electrophoresis,"Gel electrophoresis separates nucleic acids or proteins based on their size and charge by applying an electric current through a gel matrix. DNA is negatively charged and moves toward the positive electrode, with smaller fragments moving faster through the gel. This technique will allow you to check the success of your PCR reactions in BILD 4."
DNA Ladder,"A DNA ladder is a molecular weight marker containing DNA fragments of known sizes used as a reference to determine the size of DNA fragments in gel electrophoresis. In BILD 4, you will compare your PCR products to a DNA ladder to verify their size."
Loading Dye,"Loading dye is a colored dye mixed with DNA samples before loading into a gel for electrophoresis. It helps visualize the progress of the migration and also contains glycerol or sucrose to make the sample denser so it sinks into the wells of the gel."
SybrSafe Dye,"SybrSafe Dye is a fluorescent dye used to stain nucleic acids in gel electrophoresis, allowing visualization of DNA or RNA under UV or blue light. You will use SybrSafe in BILD 4 to visualize your DNA bands on the agarose gel."
Genetic Engineering,"Genetic engineering is the direct manipulation of an organism’s genes using biotechnology, often to introduce new traits or enhance certain biological functions. Techniques like CRISPR-Cas9 allow for precise gene edits."
CRISPR-Cas9,"CRISPR-Cas9 is a gene-editing tool that allows for precise modification of DNA within an organism, utilizing the Cas9 protein to cut DNA and a guide RNA to direct the location of the cut. In BILD 4, you may discuss the potential applications of CRISPR in microbiome research."
Jennifer Doudna,"Jennifer Doudna is a pioneering scientist in the field of gene editing and co-inventor of the CRISPR-Cas9 gene-editing technology, which has revolutionized genetics and molecular biology."
Strategy to learn a new lab technique; GOAL,"The specific outcome you aim to achieve by learning the new technique, such as mastering a procedure or gaining reproducible results. For example, mastering PCR setup and running it successfully."
Strategy to learn a new lab technique; DATA,"The information and observations collected while performing the lab technique that allow for evaluation and analysis of the results. This could include the concentration and purity of DNA measured using the NanoDrop or the size of PCR products observed on a gel."
Strategy to learn a new lab technique; MECHANISM,"The underlying biological or chemical process that the lab technique manipulates or utilizes. For PCR, the mechanism involves the amplification of DNA using repeated heating and cooling cycles to replicate DNA."
Strategy to learn a new lab technique; REAGENTS,"The chemicals, biological agents, and other materials required to carry out the lab technique. In BILD 4, PCR reagents include Taq polymerase, primers, dNTPs, buffers, and your DNA sample."
Strategy to learn a new lab technique; CONTROLS,"The standard conditions used in the experiment that help validate the results by providing a baseline for comparison. In PCR, a no-template control ensures no contamination, while a positive control confirms the reaction works."
Strategy to learn a new lab technique; EXPECTED RESULTS,"The anticipated outcomes of the experiment, which serve as a basis for comparison when analyzing actual results. In PCR, you expect a specific band size corresponding to the target DNA fragment."
Strategy to learn a new lab technique; TROUBLESHOOTING,"The process of identifying and resolving issues encountered during the execution of the lab technique to improve the procedure and outcomes. If your PCR doesn’t work, you might check primer design, reagent concentrations, or contamination."
Nucleotide,"Nucleotides are the basic building blocks of DNA and RNA, consisting of a nitrogenous base, a sugar molecule, and a phosphate group. They are the substrate for DNA polymerase during PCR."
Antiparallel strands,"Antiparallel strands refer to the opposite orientation of the two strands of DNA in a double helix, where one strand runs 5' to 3' and the other runs 3' to 5'. This orientation is crucial for DNA replication and PCR."
What direction does DNA grow in? 5' or 3',"DNA grows in the 5' to 3' direction, meaning new nucleotides are added to the 3' end of the growing strand. This principle is fundamental for processes like PCR and DNA replication."
dNTPs,"Deoxynucleotide triphosphates (dNTPs) are the building blocks used by DNA polymerase to synthesize new strands of DNA during replication or PCR. In BILD 4, dNTPs are a critical component of your PCR reaction mix."
DNA Polymerase,"DNA polymerase is an enzyme that synthesizes new strands of DNA by adding nucleotides to a pre-existing strand based on the template DNA sequence. Taq polymerase, used in PCR, is a heat-stable DNA polymerase that remains active during the high temperatures of the denaturation phase."
Gel electrophoresis buffer,"Gel electrophoresis buffer is a solution used to conduct electricity and maintain a stable pH during the separation of nucleic acids in gel electrophoresis. Common buffers include TAE and TBE, which help carry the electric current through the agarose gel during electrophoresis."
